credential_type_id,condition_id,note
eid-credential,eid-held,
eid-credential,identity-evidence-available,"Recorded against the broad condition as well, so a flow that needs identity evidence but not specifically the state e-ID still finds this credential."
secondary-education-certificate,secondary-education-credential-held,The gymnasiale Maturität route.
vocational-qualification-certificate,secondary-education-credential-held,"The federal vocational certificate route. The same condition, a different credential and a different awarding institution - which is the point of keeping conditions and credentials apart."
kyc-attestation,kyc-attestation-held,
kyc-currency-attestation,kyc-attestation-current,
tertiary-enrolment-attestation,tertiary-enrolment-evidence-held,
employment-attestation,employment-evidence-held,
quality-accreditation-certificate,supplier-accreditation-held,
supplier-qualification-record,supplier-qualification-evidence-held,
service-entitlement-attestation,service-entitlement-evidence-held,
