id,pref_label_en,format,semantic_model,trust_framework,protocol_profile,code_status,definition
eid-credential,Electronic identity credential,SD-JWT VC,,swiyu,"swiss-profile-issuance:1.0.0, swiss-profile-verification:1.0.0",provisional,"The state-issued electronic identity, held in a wallet and presented with selective disclosure. In Switzerland the EID under the E-ID Act (BGEID) of 20 December 2024: issued by fedpol through the federal trust infrastructure (Art. 13), carrying official name, given names, date of birth, sex, place of origin, place of birth, nationality, facial image and the AHV number (Art. 15 para. 1). Art. 10 para. 1 requires that the holder be able to determine which parts of it, and which information derived from them, reach the verifier. No claim schema is recorded here: the statute states the content and this repository has not read a published schema document."
kyc-attestation,KYC attestation,SD-JWT VC,,,,provisional,"A regulated institution's statement that customer due diligence was completed, reusable by another institution. The format is recorded so the attestation can ride the same infrastructure as the electronic identity; no semantic model or trust framework has been chosen for it."
kyc-currency-attestation,KYC currency attestation,SD-JWT VC,,,,provisional,"A statement that the due diligence behind a KYC attestation was re-evaluated within its validity period. No semantic model or trust framework has been chosen for it."
secondary-education-certificate,Upper-secondary school-leaving certificate,W3C VCDM,European Learning Model (ELM),,,provisional,"A school-leaving certificate as a verifiable credential; in Switzerland the gymnasiale Maturitätszeugnis. ELM is the schema family to align with and extends the W3C data model; which version of it the European Digital Credentials infrastructure requires is not settled here, so no format version and no trust framework are recorded."
vocational-qualification-certificate,Vocational qualification certificate,W3C VCDM,European Learning Model (ELM),,,provisional,"A completed vocational education and training qualification as a verifiable credential; in Switzerland the eidgenössisches Fähigkeitszeugnis (EFZ). Carried here to show a second credential substantiating the same condition as the school-leaving certificate: no canonical use case changes to admit it. No schema document has been read for it."
tertiary-enrolment-attestation,Tertiary enrolment attestation,W3C VCDM,European Learning Model (ELM),,,provisional,A statement that the subject is enrolled at a higher education institution.
employment-attestation,Employment attestation,W3C VCDM,European Learning Model (ELM),,,provisional,A statement that an employment contract is in force between the subject and a named employer.
quality-accreditation-certificate,Quality accreditation certificate,W3C VCDM 2.0,UNTP Digital Conformity Credential,UN/CEFACT UN Transparency Protocol,,provisional,"An accredited body's certificate that an organisation meets a standard - ISO 9001, GMP, sector conformity schemes."
supplier-qualification-record,Supplier qualification record,W3C VCDM 2.0,,,,provisional,"A buying organisation's own record that a supplier passed qualification, presentable to an auditor. The format follows the accreditation certificate the record is derived from; no ecosystem schema or trust framework governs an organisation's internal record."
service-entitlement-attestation,Service entitlement attestation,SD-JWT VC,,,,provisional,"A statement that the subject is entitled to a named public service. No semantic model or trust framework has been chosen for it."
