flow_id,participation_id,credential_type_id,action
eid-issuance-ch,issuer,eid-credential,issues
eid-issuance-ch,holder,eid-credential,holds
eid-presentation-ch,holder,eid-credential,presents
eid-presentation-ch,verifier,eid-credential,verifies
banking-kyc-onboarding-ch,holder,eid-credential,presents
banking-kyc-onboarding-ch,verifier,eid-credential,verifies
banking-kyc-onboarding-ch,issuer,kyc-attestation,issues
banking-kyc-onboarding-ch,holder,kyc-attestation,holds
banking-re-kyc-ch,holder,kyc-attestation,presents
banking-re-kyc-ch,verifier,kyc-attestation,verifies
banking-re-kyc-ch,issuer,kyc-currency-attestation,issues
banking-re-kyc-ch,holder,kyc-currency-attestation,holds
banking-password-reset-ch,holder,eid-credential,presents
banking-password-reset-ch,verifier,eid-credential,verifies
banking-age-of-majority-ch,holder,eid-credential,presents
banking-age-of-majority-ch,verifier,eid-credential,verifies
education-matura-issuance-ch,holder,eid-credential,presents
education-matura-issuance-ch,verifier,eid-credential,verifies
education-matura-issuance-ch,issuer,secondary-education-certificate,issues
education-matura-issuance-ch,holder,secondary-education-certificate,holds
education-efz-issuance-ch,holder,eid-credential,presents
education-efz-issuance-ch,verifier,eid-credential,verifies
education-efz-issuance-ch,issuer,vocational-qualification-certificate,issues
education-efz-issuance-ch,holder,vocational-qualification-certificate,holds
education-immatriculation-ch,holder,eid-credential,presents
education-immatriculation-ch,verifier,eid-credential,verifies
education-immatriculation-ch,holder,secondary-education-certificate,presents
education-immatriculation-ch,verifier,secondary-education-certificate,verifies
education-immatriculation-ch,issuer,tertiary-enrolment-attestation,issues
education-immatriculation-ch,holder,tertiary-enrolment-attestation,holds
retail-age-check-ch,holder,eid-credential,presents
retail-age-check-ch,verifier,eid-credential,verifies
hospitality-age-check-ch,holder,eid-credential,presents
hospitality-age-check-ch,verifier,eid-credential,verifies
employment-onboarding-ch,holder,eid-credential,presents
employment-onboarding-ch,verifier,eid-credential,verifies
employment-onboarding-ch,holder,secondary-education-certificate,presents
employment-onboarding-ch,verifier,secondary-education-certificate,verifies
employment-onboarding-ch,issuer,employment-attestation,issues
employment-onboarding-ch,holder,employment-attestation,holds
healthcare-admission-ch,holder,eid-credential,presents
healthcare-admission-ch,verifier,eid-credential,verifies
egov-portal-ch,holder,eid-credential,presents
egov-portal-ch,verifier,eid-credential,verifies
egov-portal-ch,issuer,service-entitlement-attestation,issues
egov-portal-ch,holder,service-entitlement-attestation,holds
supplier-qualification-pharma,holder-supplier,quality-accreditation-certificate,presents
supplier-qualification-pharma,verifier,quality-accreditation-certificate,verifies
supplier-qualification-pharma,issuer-buyer,supplier-qualification-record,issues
supplier-qualification-pharma,holder-buyer,supplier-qualification-record,holds
supplier-qualification-aerospace,holder-supplier,quality-accreditation-certificate,presents
supplier-qualification-aerospace,verifier,quality-accreditation-certificate,verifies
supplier-qualification-aerospace,issuer-buyer,supplier-qualification-record,issues
supplier-qualification-aerospace,holder-buyer,supplier-qualification-record,holds
