flow_id,step,use_case_id,note
eid-issuance-ch,1,eid-issuance,
eid-presentation-ch,1,identity-verification,
banking-kyc-onboarding-ch,1,identity-verification,The bank verifies the presented e-ID itself.
banking-kyc-onboarding-ch,2,due-diligence-onboarding,
banking-re-kyc-ch,1,due-diligence-refresh,
banking-password-reset-ch,1,identity-verification,
banking-password-reset-ch,2,credential-recovery-reidentification,
banking-age-of-majority-ch,1,identity-verification,
banking-age-of-majority-ch,2,legal-capacity-reidentification,
education-matura-issuance-ch,1,identity-verification,
education-matura-issuance-ch,2,education-qualification-issuance,
education-efz-issuance-ch,1,identity-verification,
education-efz-issuance-ch,2,education-qualification-issuance,
education-immatriculation-ch,1,identity-verification,
education-immatriculation-ch,2,qualification-verification,
education-immatriculation-ch,3,tertiary-admission,
retail-age-check-ch,1,age-threshold-verification,
hospitality-age-check-ch,1,age-threshold-verification,
employment-onboarding-ch,1,identity-verification,
employment-onboarding-ch,2,qualification-verification,
employment-onboarding-ch,3,employment-engagement,
healthcare-admission-ch,1,identity-verification,
healthcare-admission-ch,2,patient-record-matching,
egov-portal-ch,1,identity-verification,
egov-portal-ch,2,public-service-access,
supplier-qualification-pharma,1,accreditation-verification,
supplier-qualification-pharma,2,supplier-qualification,
supplier-qualification-aerospace,1,accreditation-verification,
supplier-qualification-aerospace,2,supplier-qualification,
