use_case_id,participation_id,credential_type_id,action
eid-issuance,issuer,eid-credential,issues
eid-issuance,holder,eid-credential,holds
banking-kyc-onboarding,holder,eid-credential,presents
banking-kyc-onboarding,verifier,eid-credential,verifies
banking-kyc-onboarding,issuer,kyc-attestation,issues
banking-kyc-onboarding,holder,kyc-attestation,holds
banking-re-kyc,holder,kyc-attestation,presents
banking-re-kyc,verifier,kyc-attestation,verifies
banking-re-kyc,issuer,kyc-currency-attestation,issues
banking-re-kyc,holder,kyc-currency-attestation,holds
banking-reidentification-password-reset,holder,eid-credential,presents
banking-reidentification-password-reset,verifier,eid-credential,verifies
banking-age-of-majority-reidentification,holder,eid-credential,presents
banking-age-of-majority-reidentification,verifier,eid-credential,verifies
education-maturitaetszeugnis-issuance,holder,eid-credential,presents
education-maturitaetszeugnis-issuance,verifier,eid-credential,verifies
education-maturitaetszeugnis-issuance,issuer,secondary-education-certificate,issues
education-maturitaetszeugnis-issuance,holder,secondary-education-certificate,holds
education-university-immatriculation,holder,eid-credential,presents
education-university-immatriculation,verifier,eid-credential,verifies
education-university-immatriculation,holder,secondary-education-certificate,presents
education-university-immatriculation,verifier,secondary-education-certificate,verifies
education-university-immatriculation,issuer,tertiary-enrolment-attestation,issues
education-university-immatriculation,holder,tertiary-enrolment-attestation,holds
retail-hospitality-age-verification,holder,eid-credential,presents
retail-hospitality-age-verification,verifier,eid-credential,verifies
employment-identity-proofing,holder,eid-credential,presents
employment-identity-proofing,verifier,eid-credential,verifies
employment-identity-proofing,holder,secondary-education-certificate,presents
employment-identity-proofing,verifier,secondary-education-certificate,verifies
employment-identity-proofing,issuer,employment-attestation,issues
employment-identity-proofing,holder,employment-attestation,holds
healthcare-patient-identification,holder,eid-credential,presents
healthcare-patient-identification,verifier,eid-credential,verifies
egov-service-access,holder,eid-credential,presents
egov-service-access,verifier,eid-credential,verifies
egov-service-access,issuer,service-entitlement-attestation,issues
egov-service-access,holder,service-entitlement-attestation,holds
supplier-qualification,holder-supplier,quality-accreditation-certificate,presents
supplier-qualification,verifier,quality-accreditation-certificate,verifies
supplier-qualification,issuer-buyer,supplier-qualification-record,issues
supplier-qualification,holder-buyer,supplier-qualification-record,holds
