use_case_id,function_id,role
eid-issuance,certification-and-attestation,primary
eid-issuance,identity-proofing,supporting
eid-issuance,records-management,supporting
eid-issuance,regulatory-compliance,supporting
identity-verification,identity-proofing,primary
qualification-verification,eligibility-verification,primary
accreditation-verification,audit-and-assurance,primary
age-threshold-verification,eligibility-verification,primary
age-threshold-verification,regulatory-compliance,supporting
due-diligence-onboarding,relationship-onboarding,primary
due-diligence-onboarding,regulatory-compliance,supporting
due-diligence-refresh,regulatory-compliance,primary
due-diligence-refresh,identity-lifecycle-management,supporting
credential-recovery-reidentification,identity-lifecycle-management,primary
credential-recovery-reidentification,request-and-complaint-handling,supporting
credential-recovery-reidentification,access-management,supporting
legal-capacity-reidentification,identity-lifecycle-management,primary
legal-capacity-reidentification,regulatory-compliance,supporting
education-qualification-issuance,certification-and-attestation,primary
education-qualification-issuance,records-management,supporting
tertiary-admission,relationship-onboarding,primary
tertiary-admission,records-management,supporting
employment-engagement,human-capital-management,primary
employment-engagement,contracting-and-signing,supporting
patient-record-matching,service-delivery,primary
patient-record-matching,records-management,supporting
public-service-access,access-management,primary
public-service-access,service-delivery,supporting
public-service-access,entitlement-administration,supporting
supplier-qualification,sourcing-and-procurement,primary
supplier-qualification,product-compliance,supporting
supplier-qualification,quality-assurance,supporting
supplier-qualification,supply-chain-traceability,supporting
supplier-qualification,regulatory-compliance,supporting
