use_case_id,state_id
banking-kyc-onboarding,kyc-attestation-held
banking-kyc-onboarding,customer-relationship-open
banking-re-kyc,kyc-attestation-current
banking-reidentification-password-reset,access-granted
banking-age-of-majority-reidentification,legal-capacity-established
education-maturitaetszeugnis-issuance,secondary-education-credential-held
education-university-immatriculation,tertiary-enrolment-established
retail-hospitality-age-verification,age-attribute-proven
employment-identity-proofing,employment-relationship-open
healthcare-patient-identification,patient-record-linked
egov-service-access,service-entitlement-established
supplier-qualification,supplier-qualified
eid-issuance,eid-held
