use_case_id,mechanism_id
due-diligence-onboarding,in-person-check
due-diligence-onboarding,notarised-copy
due-diligence-refresh,phone-or-email-check
due-diligence-refresh,pdf-attachment
credential-recovery-reidentification,in-person-check
legal-capacity-reidentification,in-person-check
education-qualification-issuance,paper-document
tertiary-admission,notarised-copy
tertiary-admission,paper-document
age-threshold-verification,in-person-check
employment-engagement,pdf-attachment
employment-engagement,phone-or-email-check
patient-record-matching,in-person-check
public-service-access,registry-lookup
supplier-qualification,pdf-attachment
supplier-qualification,self-declaration
supplier-qualification,phone-or-email-check
eid-issuance,in-person-check
eid-issuance,paper-document
identity-verification,in-person-check
identity-verification,notarised-copy
qualification-verification,paper-document
qualification-verification,phone-or-email-check
accreditation-verification,pdf-attachment
accreditation-verification,phone-or-email-check
