use_case_id,evidence_id
banking-kyc-onboarding,in-person-check
banking-kyc-onboarding,notarised-copy
banking-re-kyc,phone-or-email-check
banking-re-kyc,pdf-attachment
banking-reidentification-password-reset,in-person-check
banking-age-of-majority-reidentification,in-person-check
education-maturitaetszeugnis-issuance,paper-document
education-university-immatriculation,notarised-copy
education-university-immatriculation,paper-document
retail-hospitality-age-verification,in-person-check
employment-identity-proofing,pdf-attachment
employment-identity-proofing,phone-or-email-check
aerospace-supplier-onboarding,pdf-attachment
aerospace-supplier-onboarding,self-declaration
pharma-supplier-qualification,pdf-attachment
pharma-supplier-qualification,phone-or-email-check
healthcare-patient-identification,in-person-check
egov-service-access,registry-lookup
