use_case_id,sector_id
eid-issuance,ISIC-8411
identity-verification,ISIC-6419
identity-verification,ISIC-8411
identity-verification,ISIC-8531
identity-verification,ISIC-8540
identity-verification,ISIC-8610
identity-verification,ISIC-4711
identity-verification,ISIC-5610
qualification-verification,ISIC-8540
qualification-verification,ISIC-C
accreditation-verification,ISIC-2100
accreditation-verification,ISIC-3030
age-threshold-verification,ISIC-4711
age-threshold-verification,ISIC-5610
due-diligence-onboarding,ISIC-6419
due-diligence-onboarding,ISIC-6512
due-diligence-refresh,ISIC-6419
due-diligence-refresh,ISIC-6512
credential-recovery-reidentification,ISIC-6419
legal-capacity-reidentification,ISIC-6419
education-qualification-issuance,ISIC-8531
tertiary-admission,ISIC-8540
employment-engagement,ISIC-C
employment-engagement,ISIC-K
employment-engagement,ISIC-L
employment-engagement,ISIC-Q
employment-engagement,ISIC-R
patient-record-matching,ISIC-8610
public-service-access,ISIC-8411
supplier-qualification,ISIC-2100
supplier-qualification,ISIC-3030
