use_case_id,value_driver_id
banking-kyc-onboarding,friction-reduction
banking-kyc-onboarding,fraud-risk-reduction
banking-kyc-onboarding,compliance-assurance
banking-kyc-onboarding,data-quality
banking-re-kyc,friction-reduction
banking-re-kyc,compliance-assurance
banking-reidentification-password-reset,friction-reduction
banking-reidentification-password-reset,fraud-risk-reduction
banking-reidentification-password-reset,reach-and-inclusion
banking-age-of-majority-reidentification,compliance-assurance
banking-age-of-majority-reidentification,friction-reduction
education-maturitaetszeugnis-issuance,fraud-risk-reduction
education-maturitaetszeugnis-issuance,data-quality
education-university-immatriculation,friction-reduction
education-university-immatriculation,data-quality
education-university-immatriculation,fraud-risk-reduction
retail-hospitality-age-verification,data-minimisation
retail-hospitality-age-verification,fraud-risk-reduction
retail-hospitality-age-verification,friction-reduction
employment-identity-proofing,friction-reduction
employment-identity-proofing,fraud-risk-reduction
employment-identity-proofing,data-quality
healthcare-patient-identification,data-quality
healthcare-patient-identification,friction-reduction
healthcare-patient-identification,fraud-risk-reduction
egov-service-access,friction-reduction
egov-service-access,data-minimisation
egov-service-access,reach-and-inclusion
supplier-qualification,friction-reduction
supplier-qualification,compliance-assurance
supplier-qualification,data-quality
supplier-qualification,fraud-risk-reduction
eid-issuance,reach-and-inclusion
eid-issuance,fraud-risk-reduction
eid-issuance,data-minimisation
eid-issuance,friction-reduction
